train_text,true_label,predicted_label,max_score,correct
I am still waiting on my card?,card_arrival,card_arrival,0.9808050394058228,1
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival,card_arrival,0.9795774817466736,1
I have been waiting over a week. Is the card still coming?,card_arrival,card_arrival,0.9784874320030212,1
Can I track my card while it is in the process of delivery?,card_arrival,card_arrival,0.9788364768028259,1
"How do I know if I will get my card, or if it is lost?",card_arrival,card_arrival,0.9665952920913696,1
When did you send me my new card?,card_arrival,card_arrival,0.9805681109428406,1
Do you have info about the card on delivery?,card_arrival,card_arrival,0.9757580161094666,1
What do I do if I still have not received my new card?,card_arrival,card_arrival,0.9803044199943542,1
Does the package with my card have tracking?,card_arrival,card_arrival,0.9789327383041382,1
I ordered my card but it still isn't here,card_arrival,card_arrival,0.978274941444397,1
Why has my new card still not come?,card_arrival,card_arrival,0.9784769415855408,1
"I still haven't received my card after two weeks, is it lost?",card_arrival,card_arrival,0.9811843633651733,1
Can you track my card for me?,card_arrival,card_arrival,0.9802639484405518,1
Is there a way to track the delivery of my card?,card_arrival,card_arrival,0.9809864163398743,1
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,card_arrival,0.9758011102676392,1
Will I be able to track the card that was sent to me?,card_arrival,card_arrival,0.9823299050331116,1
I don't have my card in 1 week.  Should I be worried?,card_arrival,card_arrival,0.9782723188400269,1
How do I know when my new card is going to arrive?,card_arrival,card_arrival,0.9715498089790344,1
My new card has not been delivered to my home yet. What is going on?,card_arrival,card_arrival,0.9780831933021545,1
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,card_arrival,0.9813545346260071,1
"On the card that is coming, what's the tracking info?",card_arrival,card_arrival,0.96677565574646,1
What is the status of my card's delivery?,card_arrival,card_arrival,0.9782269597053528,1
Have you sent out my card yet?,card_arrival,card_arrival,0.9158995747566223,1
My card isn't here yet.,card_arrival,card_arrival,0.9776347875595093,1
where is my new card?,card_arrival,card_arrival,0.975996196269989,1
It's been a week since you sent my card and I still don't have it.,card_arrival,card_arrival,0.9806473255157471,1
How do I track the card you sent me?,card_arrival,card_arrival,0.9822062253952026,1
When will I recieve my new card?,card_arrival,card_arrival,0.980246365070343,1
When will I get my new card?,card_arrival,card_arrival,0.9807886481285095,1
What is the expected delivery date for my card?,card_arrival,card_arrival,0.9778090119361877,1
Is there a tracking number for the card you sent me?,card_arrival,card_arrival,0.979878306388855,1
I would like to track the card you sent to me.,card_arrival,card_arrival,0.9821422696113586,1
Has my card been lost in delivery?,card_arrival,card_arrival,0.9794944524765015,1
My new card hasn't came in.,card_arrival,card_arrival,0.9772928953170776,1
Where is the card I ordered 2 weeks ago?,card_arrival,card_arrival,0.9687142372131348,1
Can I get an update on my replacement card?,card_arrival,card_arrival,0.9750849604606628,1
How long does it take for a new card to ship?,card_arrival,card_arrival,0.7850550413131714,1
What's the tracking on the card you sent?,card_arrival,card_arrival,0.9807012677192688,1
I haven't received my card and am worried it is lost.,card_arrival,card_arrival,0.8489176034927368,1
My card still hasn't been delivered,card_arrival,card_arrival,0.9804821014404297,1
I need to find out where the card is that I ordered.,card_arrival,card_arrival,0.9770305156707764,1
Where is my credit card that was to be mailed?,card_arrival,card_arrival,0.9784417748451233,1
I ordered my card but it hasn't been delivered yet,card_arrival,card_arrival,0.9588391780853271,1
Am I able to track the card that was just sent to me?,card_arrival,card_arrival,0.9822317957878113,1
Can you tell me why I haven't received my new card?,card_arrival,card_arrival,0.9809330701828003,1
I'm still waiting for my new card.,card_arrival,card_arrival,0.9808505773544312,1
Is my card lost? I am still waiting for it to be delivered.,card_arrival,card_arrival,0.9777274131774902,1
Should I keep waiting for my card to be delivered?,card_arrival,card_arrival,0.9760066270828247,1
Can I track when my card will be delivered?,card_arrival,card_arrival,0.9809959530830383,1
How can I check on the status of my new card?,card_arrival,card_arrival,0.9677524566650391,1
"A card has been sent to me, how do I track it?",card_arrival,card_arrival,0.9815271496772766,1
Is there a way I can get my card expedited?,card_arrival,card_arrival,0.9767163991928101,1
What can I do to track the card you sent me?,card_arrival,card_arrival,0.9819950461387634,1
why hasnt my card come in yet?,card_arrival,card_arrival,0.9794726371765137,1
How can I periodically check the delivery of the card you sent?,card_arrival,card_arrival,0.980908989906311,1
What's the reason my new card hasn't come?,card_arrival,card_arrival,0.9774686098098755,1
How long does it take for me to get my new card?,card_arrival,card_arrival,0.9792242646217346,1
I don't have my card after 1 week. What are my next steps?,card_arrival,card_arrival,0.979371964931488,1
I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,card_delivery_estimate,0.41390880942344666,0
I want to find out what happened to my new card?,card_arrival,card_arrival,0.9768201112747192,1
Was there a way for me to get tracking for that?,card_arrival,card_arrival,0.9730768203735352,1
I am still waiting for my card.,card_arrival,card_arrival,0.9763123989105225,1
My card hasn't arrived.,card_arrival,card_arrival,0.981160581111908,1
Can I track the card you sent to me?,card_arrival,card_arrival,0.9819791316986084,1
I haven't gotten my new card.,card_arrival,card_arrival,0.9782441854476929,1
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,card_arrival,0.9801366329193115,1
Will I have to wait much longer for my new card to arrive?,card_arrival,card_arrival,0.9799286723136902,1
how to track the card you sent,card_arrival,card_arrival,0.9817710518836975,1
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,card_arrival,0.9808881282806396,1
How can I check on the delivery status of my card?,card_arrival,card_arrival,0.9796938300132751,1
"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,card_arrival,0.9666188955307007,1
What's the expected wait time to recieve my new card?,card_arrival,card_arrival,0.9807941913604736,1
How can I see the progress of delivery of the card that was sent?,card_arrival,card_arrival,0.9783438444137573,1
"My card was supposed to arrive, but hasn't?",card_arrival,card_arrival,0.9742739796638489,1
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival,card_arrival,0.9811665415763855,1
How long will it take for me to get my card?,card_arrival,card_arrival,0.6935399770736694,1
My card hasn't shown up yet.,card_arrival,card_arrival,0.9802473783493042,1
Does the card you sent have a tracking number?,card_arrival,card_arrival,0.9807580709457397,1
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival,card_arrival,0.9783586859703064,1
maximum how many days get the courier?,card_arrival,card_delivery_estimate,0.7555710077285767,0
Is there a reason my new card hasn't arrived yet?,card_arrival,card_arrival,0.9811958074569702,1
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,card_arrival,0.9756034016609192,1
How can I track my card's delivery?,card_arrival,card_arrival,0.9806886911392212,1
Can I track the card that was just sent to me?,card_arrival,card_arrival,0.9824251532554626,1
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,card_arrival,0.8330039381980896,1
"What's go on, where is my new card?",card_arrival,card_arrival,0.979335367679596,1
Where is my new card if I haven't received it yet?,card_arrival,card_arrival,0.9808064699172974,1
Where is my card?,card_arrival,card_arrival,0.9686692357063293,1
Can you tell me why I haven't received my new card yet?,card_arrival,card_arrival,0.9813770651817322,1
Is there a way to track my card?,card_arrival,card_arrival,0.9798305034637451,1
Is there a way to track the new card you sent me?,card_arrival,card_arrival,0.9810760021209717,1
I'm still waiting for my card.,card_arrival,card_arrival,0.9793786406517029,1
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,card_arrival,0.9789813160896301,1
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,card_not_working,0.8398808240890503,0
Could I get tracking on the card?,card_arrival,card_arrival,0.9778046011924744,1
Can you help me track my card?,card_arrival,card_arrival,0.974174976348877,1
Shouldn't my new card be here by now?,card_arrival,card_arrival,0.9733796119689941,1
Is there a reason my new card hasn't arrived?,card_arrival,card_arrival,0.9796732664108276,1
"I would like to track a card sent to me, how do I do that?",card_arrival,card_arrival,0.9809988141059875,1
Is there a tracking number for the card?,card_arrival,card_arrival,0.976932168006897,1
can you share card tracking number?,card_arrival,card_arrival,0.8781366944313049,1
"I have not received my card and it's been a week, what do I do?",card_arrival,card_arrival,0.9791049361228943,1
Is there a way I can check on the card on route to me?,card_arrival,card_arrival,0.9776136875152588,1
When will my new card arrive?,card_arrival,card_arrival,0.9810923933982849,1
Why haven't I received my new card yet?,card_arrival,card_arrival,0.9806584119796753,1
What is the expected delivery date of my card?,card_arrival,card_arrival,0.977269172668457,1
My card hasn't came in the mail yet?,card_arrival,card_arrival,0.9815317392349243,1
